Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label,Timestamp
15618.7958984375,24718.50390625,20453.478515625,59652.76171875,35660.1953125,46703.45703125,-1655949.875,62069.18359375,1,174746.6840391
15612.849609375,24726.796875,20459.87109375,59661.58984375,35665.96484375,46710.31640625,-1655969.75,62047.83984375,1,174746.68803909997
15643.2041015625,24738.552734375,20466.62109375,59698.22265625,35657.2890625,46730.81640625,-1656067.875,62082.9296875,1,174746.69203909996
15619.3095703125,24723.8671875,20457.9921875,59657.34375,35655.32421875,46700.7734375,-1655969.75,62069.7421875,1,174746.7037753
15604.646484375,24719.978515625,20456.80859375,59653.25390625,35648.3046875,46697.7109375,-1655966.75,62047.8828125,1,174746.7077753
15598.701171875,24711.150390625,20448.001953125,59658.5703125,35656.57421875,46704.70703125,-1656008.125,62054.9453125,1,174746.7551824
15628.98828125,24715.060546875,20444.6484375,59703.09765625,35656.0390625,46713.89453125,-1656090.5,62096.74609375,1,174746.75918239998
15626.685546875,24716.1796875,20441.4296875,59674.44140625,35654.16015625,46709.8046875,-1656026.375,62091.203125,1,174746.7836536
15599.3271484375,24696.912109375,20432.244140625,59632.01953125,35647.1875,46683.83203125,-1655966.75,62067.15234375,1,174746.80943360002
15605.5859375,24706.3671875,20438.658203125,59657.96875,35651.01171875,46696.1484375,-1656025.25,62066.32421875,1,174746.8134336
15631.423828125,24717.876953125,20441.318359375,59687.18359375,35656.0390625,46703.72265625,-1656052.375,62105.21484375,1,174746.8174336
15613.4306640625,24706.791015625,20435.796875,59658.8828125,35653.55859375,46687.18359375,-1655971.875,62096.54296875,1,174746.82143359998
15631.0888671875,24719.375,20442.94921875,59694.84765625,35651.66015625,46713.1328125,-1656070.875,62087.40234375,1,174746.87041150001
15626.9091796875,24704.220703125,20435.328125,59669.6796875,35647.09765625,46699.09765625,-1656026.625,62092.65625,1,174746.8744115
15612.2236328125,24700.779296875,20434.546875,59646.703125,35637.5078125,46689.73046875,-1655978.125,62083.53515625,1,174746.89983
15586.3408203125,24691.501953125,20426.544921875,59631.6171875,35628.0546875,46675.71875,-1655964.875,62054.41015625,1,174746.90383
15588.7099609375,24727.01953125,20451.5546875,59659.77734375,35658.96875,46709.0234375,-1656033.375,62058.2109375,1,174746.92568030002
15628.8759765625,24730.57421875,20449.90234375,59678.5546875,35656.75390625,46710.71875,-1655994.375,62113.95703125,1,174746.9833249
15608.9384765625,24725.65625,20450.4375,59647.28515625,35654.83203125,46699.25390625,-1655954.75,62088.7421875,1,174746.9873249
15599.662109375,24726.125,20457.34375,59643.86328125,35654.25,46702.18359375,-1655956.875,62055.34765625,1,174746.99132489998
15630.552734375,24732.4296875,20458.39453125,59683.00390625,35647.390625,46716.890625,-1656064.125,62086.12890625,1,174746.99532489997
15587.16796875,24721.38671875,20448.783203125,59646.14453125,35665.203125,46699.2109375,-1655939.5,62067.75390625,1,174747.0427258
15608.5361328125,24732.048828125,20459.982421875,59683.00390625,35662.38671875,46715.48046875,-1655997.875,62071.44140625,1,174747.0467258
15638.353515625,24746.533203125,20468.408203125,59716.41796875,35662.72265625,46731.75390625,-1656069.0,62096.36328125,1,174747.0715588
15616.6943359375,24732.49609375,20461.078125,59675.3359375,35670.43359375,46711.6796875,-1655968.375,62096.921875,1,174747.10138150002
15589.291015625,24728.94140625,20463.78125,59666.8203125,35670.65625,46708.015625,-1655955.75,62050.54296875,1,174747.1053815
15612.3134765625,24733.234375,20460.98828125,59702.26953125,35665.0234375,46717.671875,-1656027.125,62070.48046875,1,174747.1093815
15640.87890625,24734.23828125,20461.61328125,59714.0703125,35670.3203125,46726.8359375,-1656046.25,62109.84375,1,174747.11338149998
15606.345703125,24720.26953125,20455.578125,59685.171875,35669.5625,46706.67578125,-1656026.625,62055.953125,1,174747.13237580002
15638.0849609375,24730.103515625,20462.26171875,59722.1171875,35671.9296875,46721.26953125,-1656063.375,62098.8671875,1,174747.1363758
15632.4521484375,24723.80078125,20459.19921875,59685.6171875,35665.5390625,46708.484375,-1655984.5,62100.859375,1,174747.1403758
15599.0361328125,24713.921875,20453.27734375,59660.13671875,35662.25390625,46694.62890625,-1655948.0,62064.55859375,1,174747.14437579998
15634.732421875,24728.091796875,20457.5234375,59696.8828125,35666.34375,46712.0390625,-1656038.75,62097.39453125,1,174747.18945210002
15597.896484375,24713.67578125,20444.11328125,59671.51171875,35667.4375,46690.6484375,-1655946.125,62047.63671875,1,174747.2168124
15613.341796875,24718.392578125,20445.275390625,59701.7109375,35663.32421875,46698.29296875,-1656036.875,62049.875,1,174747.2208124
15611.9111328125,24729.724609375,20455.84765625,59715.12109375,35658.2734375,46715.16796875,-1656105.75,62061.5859375,1,174747.2470407
15629.658203125,24722.572265625,20453.322265625,59707.87890625,35660.62109375,46705.37890625,-1656019.375,62090.171875,1,174747.25104069998
15630.2392578125,24703.796875,20452.025390625,59683.875,35651.66015625,46700.015625,-1655949.625,62085.97265625,1,174747.3042439
15590.744140625,24694.609375,20439.91015625,59661.7890625,35648.70703125,46681.26171875,-1655970.5,62044.0859375,1,174747.30824389998
15593.962890625,24713.966796875,20448.29296875,59672.09375,35644.4609375,46702.8515625,-1656046.25,62053.11328125,1,174747.31224389997
15621.142578125,24721.296875,20452.115234375,59679.06640625,35639.9921875,46710.98828125,-1656075.75,62097.19140625,1,174747.31624389996
15605.8095703125,24704.154296875,20451.041015625,59669.30078125,35638.15625,46694.94140625,-1656011.125,62052.64453125,1,174747.3332082
15616.359375,24706.634765625,20439.060546875,59679.4921875,35647.61328125,46695.43359375,-1656028.5,62071.734375,1,174747.3602167
15591.3701171875,24702.208984375,20436.400390625,59641.25,35646.6953125,46687.71875,-1655974.0,62043.92578125,1,174747.3642167
15583.3681640625,24694.744140625,20430.767578125,59630.23046875,35633.6640625,46677.015625,-1655952.875,62033.7578125,1,174747.3891224
15614.4814453125,24702.857421875,20437.138671875,59661.296875,35630.55859375,46691.8984375,-1656014.875,62049.0703125,1,174747.39312239998
15644.9697265625,24713.18359375,20443.7109375,59693.796875,35633.46484375,46705.33203125,-1656094.5,62091.9609375,1,174747.39712239997
15628.4736328125,24703.728515625,20440.291015625,59657.25390625,35639.51953125,46692.28125,-1655997.125,62079.35546875,1,174747.40112239996
15640.3427734375,24706.142578125,20433.25,59689.640625,35620.9921875,46700.75,-1656074.875,62086.9765625,1,174747.4464258
15607.10546875,24696.77734375,20435.708984375,59655.59765625,35640.3046875,46695.34375,-1655952.625,62074.32421875,1,174747.5070075
15585.3798828125,24690.294921875,20433.271484375,59642.12109375,35635.51953125,46689.84375,-1655930.375,62035.25390625,1,174747.5110075
15593.001953125,24700.755859375,20441.18359375,59647.5078125,35623.3828125,46696.86328125,-1655987.25,62031.140625,1,174747.53430260002
15628.5859375,24708.087890625,20441.876953125,59684.90234375,35625.125,46711.14453125,-1656058.75,62063.171875,1,174747.5383026
15635.849609375,24702.87890625,20441.072265625,59662.57421875,35623.2734375,46700.2578125,-1655996.25,62077.1875,1,174747.5423026
